speed 5.545
0 0 0
0 -0 0
7.65 0 0
0 -0 0
2.9 -6.4 0
0 -0 0
3.65 -8.5 3.9
0 -0 0
0 3.1 0
0 -0 0
-7.65 0.05 0
0 -0 0
-2.95 -6.4 0
0 -0 0
-3.65 -8.5 3.9
0 -0 0
0 -5.05 -1.45
0 -0 0
3.25 -6.65 2.2
0 -0 0
3 -10 1.15
0 -0 0
1.35 -16.5 -1.55
0 -0 0
-3.25 -6.65 2.2
0 -0 0
-3.35 -10 1.15
0 -0 0
-1.35 -16.5 -1.55
0 -0 0
0 0 0
0 -0 0
7.65 0 0
0 -0 0
2.9 -6.4 0
0 -0 0
3.65 -8.5 3.9
0 -0 0
0 3.1 0
0 -0 0
-7.65 0.05 0
-14.45 -0 0
-2.95 -6.4 0
0 -0 0
-3.65 -8.5 3.9
0 -0 0
0 -5.05 -1.45
0 -0 0
3.25 -6.65 2.2
0 -0 0
3 -10 1.15
0 -0 0
1.35 -16.5 -1.55
0 -0 0
-3.25 -6.65 2.2
0 -0 0
-3.35 -10 1.15
0 -0 0
-1.35 -16.5 -1.55
0 -0 0
0 0 0
0 -0 0
7.65 0 0
0 -0 0
2.9 -6.4 0
0 -0 0
3.65 -8.5 3.9
0 -0 0
0 3.1 0
0 -0 0
-7.65 0.05 0
0.4 -0 0
-2.95 -6.4 0
0 -0 0
-3.65 -8.5 3.9
0 -0 0
0 -5.05 -1.45
0 -0 0
3.25 -6.65 2.2
0 -0 0
3 -10 1.15
0 -0 0
1.35 -16.5 -1.55
0 -0 0
-3.25 -6.65 2.2
0 -0 0
-3.35 -10 1.15
0 -0 0
-1.35 -16.5 -1.55
0 -0 0
0 0 0
0 -0 0
7.65 0 0
0 -0 0
2.9 -6.4 0
0 -0 0
3.65 -8.5 3.9
0 -0 0
0 3.1 0
0 -0 0
-7.65 0.05 0
14.15 -0 0
-2.95 -6.4 0
0 -0 0
-3.65 -8.5 3.9
0 -0 0
0 -5.05 -1.45
0 -0 0
3.25 -6.65 2.2
0 -0 0
3 -10 1.15
0 -0 0
1.35 -16.5 -1.55
0 -0 0
-3.25 -6.65 2.2
0 -0 0
-3.35 -10 1.15
0 -0 0
-1.35 -16.5 -1.55
0 -0 0
